customer_id,age,region,plan,monthly_fee,months_active,usage_hours,support_tickets,failed_payments,churn
CUST_000001,45,South,Basic,35.72,12,53.67,1,1,1
CUST_000002,27,East,Basic,31.38,20,23.32,1,1,0
CUST_000003,51,East,Basic,35.73,10,7.28,2,0,0
CUST_000004,53,East,Basic,22.51,24,43.79,2,0,0
CUST_000005,18,North,Basic,27.74,12,27.24,2,0,0
CUST_000006,24,East,Basic,33.46,49,14.91,1,0,1
CUST_000007,43,South,Premium,101.62,26,24.29,0,0,0
CUST_000008,37,Central,Basic,25.59,59,20.74,0,0,0
CUST_000009,41,Central,Basic,34.57,38,25.7,1,1,0
CUST_000010,30,South,Premium,97.24,36,41.03,1,0,0
CUST_000011,52,South,Basic,26.01,7,28.61,0,0,0
CUST_000012,51,South,Standard,62.33,33,48.16,1,0,0
CUST_000013,42,East,Premium,99.93,72,38.09,1,0,0
CUST_000014,56,Central,Standard,57.29,16,37.68,0,0,0
CUST_000015,47,East,Basic,27.12,44,29.06,1,0,0
CUST_000016,30,North,Standard,54.55,5,107.22,2,0,0
CUST_000017,46,North,Standard,57.92,9,4.12,2,0,0
CUST_000018,29,South,Basic,35.4,21,13.06,0,0,0
CUST_000019,52,Central,Basic,31.12,14,14.05,3,0,1
CUST_000020,40,West,Basic,34.69,12,26.0,1,0,0
CUST_000021,39,East,Standard,62.48,14,32.17,1,2,1
CUST_000022,32,South,Basic,26.84,31,24.2,1,0,0
CUST_000023,57,Central,Basic,21.65,44,36.44,0,0,0
CUST_000024,39,South,Standard,55.27,32,45.52,0,0,0
CUST_000025,35,West,Premium,96.54,34,34.1,0,0,0
CUST_000026,36,Central,Basic,26.16,21,41.4,0,0,0
CUST_000027,48,East,Basic,34.81,9,21.3,1,0,0
CUST_000028,46,Central,Basic,34.75,20,31.92,1,1,1
CUST_000029,46,South,Standard,70.96,25,7.65,3,1,0
CUST_000030,47,West,Standard,56.08,46,29.7,0,0,0
CUST_000031,69,North,Premium,107.89,65,57.95,0,0,0
CUST_000032,36,East,Basic,37.86,29,6.52,1,0,0
CUST_000033,34,South,Basic,28.74,42,27.97,2,0,0
CUST_000034,30,North,Basic,32.27,2,11.83,0,0,0
CUST_000035,49,North,Basic,36.1,17,30.3,1,0,0
CUST_000036,56,South,Standard,59.61,21,27.31,2,1,1
CUST_000037,40,East,Standard,59.22,32,38.43,1,0,0
CUST_000038,30,East,Basic,26.76,66,17.99,0,1,1
CUST_000039,30,South,Standard,48.1,28,28.88,0,0,0
CUST_000040,49,Central,Basic,30.25,5,11.86,0,0,0
CUST_000041,51,Central,Standard,56.35,34,23.77,0,0,0
CUST_000042,48,North,Basic,24.52,16,28.82,0,1,0
CUST_000043,32,East,Standard,62.01,32,11.36,0,1,0
CUST_000044,44,West,Basic,22.64,36,25.75,0,1,0
CUST_000045,43,West,Premium,103.93,4,13.95,4,1,0
CUST_000046,44,South,Premium,102.32,20,30.25,0,0,0
CUST_000047,52,West,Standard,57.9,21,13.28,2,0,0
CUST_000048,44,North,Premium,99.58,27,99.1,1,0,0
CUST_000049,50,South,Basic,23.95,12,40.84,0,1,0
CUST_000050,42,West,Standard,63.65,10,25.58,1,1,0
CUST_000051,45,West,Basic,30.84,66,55.24,0,0,0
CUST_000052,49,West,Premium,101.21,26,24.03,3,1,0
CUST_000053,22,North,Basic,32.41,10,46.73,2,0,0
CUST_000054,37,South,Basic,26.69,14,32.08,0,0,0
CUST_000055,35,North,Standard,52.3,68,21.42,1,1,0
CUST_000056,33,South,Basic,34.69,51,37.02,2,0,0
CUST_000057,37,North,Standard,63.34,13,49.15,0,0,0
CUST_000058,60,East,Basic,27.22,9,24.02,0,0,0
CUST_000059,30,East,Standard,61.95,9,45.31,1,0,1
CUST_000060,54,West,Premium,106.19,48,52.82,1,0,0
CUST_000061,19,East,Standard,65.59,16,35.35,0,0,0
CUST_000062,37,North,Basic,27.08,6,9.48,1,0,0
CUST_000063,43,West,Basic,22.46,15,29.59,0,0,0
CUST_000064,49,North,Basic,23.31,27,6.26,0,0,0
CUST_000065,50,Central,Basic,28.34,20,25.28,0,1,0
CUST_000066,51,North,Standard,67.21,52,41.33,1,0,0
CUST_000067,36,East,Basic,26.26,27,15.41,0,0,0
CUST_000068,35,Central,Basic,26.92,30,41.6,1,0,0
CUST_000069,52,East,Basic,26.82,41,20.21,0,0,0
CUST_000070,39,East,Premium,97.24,39,20.28,0,0,0
CUST_000071,24,West,Basic,29.84,15,37.02,0,0,0
CUST_000072,26,North,Basic,23.5,9,53.77,1,0,0
CUST_000073,29,West,Standard,65.32,26,33.5,2,0,0
CUST_000074,47,Central,Basic,29.18,23,53.68,1,0,0
